day,month,year, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Temperature
1,6,2012,57,18,0,65.7,3.4,7.6,1.3,3.4,0.5,29
2,6,2012,61,13,1.3,64.4,4.1,7.6,1,3.9,0.4,29
3,6,2012,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,26
4,6,2012,89,13,2.5,28.6,1.3,6.9,0,1.7,0,25
5,6,2012,77,16,0,64.8,3,14.2,1.2,3.9,0.5,27
6,6,2012,67,14,0,82.6,5.8,22.2,3.1,7,2.5,31
7,6,2012,54,13,0,88.2,9.9,30.5,6.4,10.9,7.2,33
8,6,2012,73,15,0,86.6,12.1,38.3,5.6,13.5,7.1,30
9,6,2012,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,25
10,6,2012,79,12,0,73.2,9.5,46.3,1.3,12.6,0.9,28
11,6,2012,65,14,0,84.5,12.5,54.3,4,15.8,5.6,31
12,6,2012,81,19,0,84,13.8,61.4,4.8,17.7,7.1,26
13,6,2012,84,21,1.2,50,6.7,17,0.5,6.7,0.2,27
14,6,2012,78,20,0.5,59,4.6,7.8,1,4.4,0.4,30
15,6,2012,80,17,3.1,49.4,3,7.4,0.4,3,0.1,28
16,6,2012,89,13,0.7,36.1,1.7,7.6,0,2.2,0,29
17,6,2012,89,16,0.6,37.3,1.1,7.8,0,1.6,0,30
18,6,2012,78,14,0.3,56.9,1.9,8,0.7,2.4,0.2,31
19,6,2012,55,16,0.1,79.9,4.5,16,2.5,5.3,1.4,31
20,6,2012,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,30
21,6,2012,78,14,0,81,6.3,31.6,2.6,8.4,2.2,30
22,6,2012,67,17,0.1,79.1,7,39.5,2.4,9.7,2.3,31
23,6,2012,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,32
24,6,2012,66,17,0,85.9,11.2,55.8,5.6,14.9,7.5,32
25,6,2012,64,15,0,86.7,14.2,63.8,5.7,18.3,8.4,31
26,6,2012,64,18,0,86.8,17.8,71.8,6.7,21.6,10.6,31
27,6,2012,53,18,0,89,21.6,80.3,9.2,25.8,15,34
28,6,2012,55,14,0,89.1,25.5,88.5,7.6,29.7,13.9,32
29,6,2012,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,32
30,6,2012,50,14,0,88.7,22.9,92.8,7.2,28.3,12.9,33
1,7,2012,68,19,1,59.9,2.5,8.6,1.1,2.9,0.4,29
2,7,2012,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,27
3,7,2012,76,20,0.7,63.1,2.6,9.2,1.3,3,0.5,32
4,7,2012,78,17,0,80.1,4.6,18.5,2.7,5.7,1.7,33
